x-axis,1,2
second,Volt,Volt
-25.00000E+00,-20.10E-03,+20.10E-03
-24.97500E+00,-10.05E-03,-25.13E-03
-24.95000E+00,+10.05E-03,-20.10E-03
-24.92500E+00,-15.08E-03,-5.03E-03
-24.90000E+00,+0.0E+00,-40.20E-03
-24.87500E+00,+10.05E-03,-20.10E-03
-24.85000E+00,-20.10E-03,+0.0E+00
-24.82500E+00,-20.10E-03,-40.20E-03
-24.80000E+00,-20.10E-03,-20.10E-03
-24.77500E+00,-20.10E-03,-15.08E-03
-24.75000E+00,-20.10E-03,-10.05E-03
-24.72500E+00,-25.13E-03,-15.08E-03
-24.70000E+00,-0.0E+00,-20.10E-03
-24.67500E+00,-30.15E-03,-25.13E-03
-24.65000E+00,+0.0E+00,-20.10E-03
-24.62500E+00,-5.03E-03,-25.13E-03
-24.60000E+00,+0.0E+00,-20.10E-03
-24.57500E+00,+0.0E+00,-45.23E-03
-24.55000E+00,+0.0E+00,-20.10E-03
-24.52500E+00,-30.15E-03,-15.08E-03
-24.50000E+00,-0.0E+00,-20.10E-03
-24.47500E+00,-5.03E-03,-15.08E-03
-24.45000E+00,-30.15E-03,-10.05E-03
-24.42500E+00,+5.03E-03,-35.18E-03
-24.40000E+00,-20.10E-03,-20.10E-03
-24.37500E+00,-15.08E-03,-25.13E-03
-24.35000E+00,+0.0E+00,-20.10E-03
-24.32500E+00,-10.05E-03,-15.08E-03
-24.30000E+00,-0.0E+00,-20.10E-03
-24.27500E+00,-5.03E-03,-20.10E-03
-24.25000E+00,-20.10E-03,-30.15E-03
-24.22500E+00,-35.18E-03,-15.08E-03
-24.20000E+00,-0.0E+00,-20.10E-03
-24.17500E+00,+5.03E-03,-20.10E-03
-24.15000E+00,-20.10E-03,-20.10E-03
-24.12500E+00,-20.10E-03,-20.10E-03
-24.10000E+00,-20.10E-03,-0.0E+00
-24.07500E+00,-5.03E-03,-25.13E-03
-24.05000E+00,-30.15E-03,+0.0E+00
-24.02500E+00,+0.0E+00,-20.10E-03
-24.00000E+00,-20.10E-03,-20.10E-03
-23.97500E+00,-15.08E-03,-35.18E-03
-23.95000E+00,-20.10E-03,-30.15E-03
-23.92500E+00,+0.0E+00,-55.28E-03
-23.90000E+00,-0.0E+00,-20.10E-03
-23.87500E+00,+0.0E+00,-15.08E-03
-23.85000E+00,+0.0E+00,-30.15E-03
-23.82500E+00,-30.15E-03,-20.10E-03
-23.80000E+00,-40.20E-03,-20.10E-03
-23.77500E+00,+10.05E-03,-25.13E-03
-23.75000E+00,-30.15E-03,-10.05E-03
